veh.pt_type.ConventionalVehicle.fc.history.i,veh.pt_type.ConventionalVehicle.fc.history.pwr_out_max_watts,veh.pt_type.ConventionalVehicle.fc.history.pwr_prop_max_watts,veh.pt_type.ConventionalVehicle.fc.history.eff,veh.pt_type.ConventionalVehicle.fc.history.pwr_propulsion_watts,veh.pt_type.ConventionalVehicle.fc.history.energy_propulsion_joules,veh.pt_type.ConventionalVehicle.fc.history.pwr_aux_watts,veh.pt_type.ConventionalVehicle.fc.history.energy_aux_joules,veh.pt_type.ConventionalVehicle.fc.history.pwr_fuel_watts,veh.pt_type.ConventionalVehicle.fc.history.energy_fuel_joules,veh.pt_type.ConventionalVehicle.fc.history.pwr_loss_watts,veh.pt_type.ConventionalVehicle.fc.history.energy_loss_joules,veh.pt_type.ConventionalVehicle.fc.history.fc_on,veh.pt_type.ConventionalVehicle.fc.history.time_on_seconds,veh.pt_type.ConventionalVehicle.transmission.history.i,veh.pt_type.ConventionalVehicle.transmission.history.eff,veh.pt_type.ConventionalVehicle.transmission.history.pwr_out_watts,veh.pt_type.ConventionalVehicle.transmission.history.pwr_in_watts,veh.pt_type.ConventionalVehicle.transmission.history.pwr_loss_watts,veh.pt_type.ConventionalVehicle.transmission.history.energy_out_joules,veh.pt_type.ConventionalVehicle.transmission.history.energy_loss_joules,veh.history.i,veh.history.pwr_prop_fwd_max_watts,veh.history.pwr_prop_bwd_max_watts,veh.history.pwr_tractive_watts,veh.history.pwr_tractive_for_cyc_watts,veh.history.energy_tractive_joules,veh.history.pwr_aux_watts,veh.history.energy_aux_joules,veh.history.pwr_drag_watts,veh.history.energy_drag_joules,veh.history.pwr_accel_watts,veh.history.energy_accel_joules,veh.history.pwr_ascent_watts,veh.history.energy_ascent_joules,veh.history.pwr_rr_watts,veh.history.energy_rr_joules,veh.history.pwr_whl_inertia_watts,veh.history.energy_whl_inertia_joules,veh.history.pwr_brake_watts,veh.history.energy_brake_joules,veh.history.cyc_met,veh.history.cyc_met_overall,veh.history.speed_ach_meters_per_second,veh.history.dist_meters,veh.history.grade_curr,veh.history.air_density_kilograms_per_cubic_meter,veh.history.mass_kilograms,cyc.time_seconds,cyc.speed_meters_per_second,cyc.dist_meters,cyc.grade,cyc.elev_meters,cyc.pwr_max_chrg_watts
10,22450.0,21750.0,0.12,0.0,0.0,700.0,7000.0,5833.333333333334,58333.33333333335,5833.333333333334,58333.33333333335,true,10.0,10,0.875,0.0,0.0,0.0,0.0,0.0,10,21750.0,0.0,0.0,0.0,0.0,700.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,true,true,0.0,0.0,0.0,1.2,1644.2724500334996,10.0,0.0,0.0,0.0,121.92,0.0
11,22450.0,21750.0,0.12,0.0,0.0,700.0,7700.0,5833.333333333334,64166.666666666686,5833.333333333334,64166.666666666686,true,11.0,11,0.875,0.0,0.0,0.0,0.0,0.0,11,21750.0,0.0,0.0,0.0,0.0,700.0,7700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,true,true,0.0,0.0,0.0,1.2,1644.2724500334996,11.0,0.0,0.0,0.0,121.92,0.0
12,22450.0,21750.0,0.12,0.0,0.0,700.0,8400.0,5833.333333333334,70000.00000000001,5833.333333333334,70000.00000000001,true,12.0,12,0.875,0.0,0.0,0.0,0.0,0.0,12,21750.0,0.0,0.0,0.0,0.0,700.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,true,true,0.0,0.0,0.0,1.2,1644.2724500334996,12.0,0.0,0.0,0.0,121.92,0.0
13,22450.0,21750.0,0.12,0.0,0.0,700.0,9100.0,5833.333333333334,75833.33333333334,5833.333333333334,75833.33333333334,true,13.0,13,0.875,0.0,0.0,0.0,0.0,0.0,13,21750.0,0.0,0.0,0.0,0.0,700.0,9100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,true,true,0.0,0.0,0.0,1.2,1644.2724500334996,13.0,0.0,0.0,0.0,121.92,0.0
14,22450.0,21750.0,0.12,0.0,0.0,700.0,9800.0,5833.333333333334,81666.66666666667,5833.333333333334,81666.66666666667,true,14.0,14,0.875,0.0,0.0,0.0,0.0,0.0,14,21750.0,0.0,0.0,0.0,0.0,700.0,9800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,true,true,0.0,0.0,0.0,1.2,1644.2724500334996,14.0,0.0,0.0,0.0,121.92,0.0
15,22450.0,21750.0,0.12,0.0,0.0,700.0,10500.0,5833.333333333334,87500.0,5833.333333333334,87500.0,true,15.0,15,0.875,0.0,0.0,0.0,0.0,0.0,15,21750.0,0.0,0.0,0.0,0.0,700.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,true,true,0.0,0.0,0.0,1.2,1644.2724500334996,15.0,0.0,0.0,0.0,121.92,0.0
16,22450.0,21750.0,0.12,0.0,0.0,700.0,11200.0,5833.333333333334,93333.33333333333,5833.333333333334,93333.33333333333,true,16.0,16,0.875,0.0,0.0,0.0,0.0,0.0,16,21750.0,0.0,0.0,0.0,0.0,700.0,11200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,true,true,0.0,0.0,0.0,1.2,1644.2724500334996,16.0,0.0,0.0,0.0,121.92,0.0
17,22450.0,21750.0,0.12,0.0,0.0,700.0,11900.0,5833.333333333334,99166.66666666666,5833.333333333334,99166.66666666666,true,17.0,17,0.875,0.0,0.0,0.0,0.0,0.0,17,21750.0,0.0,0.0,0.0,0.0,700.0,11900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,true,true,0.0,0.0,0.0,1.2,1644.2724500334996,17.0,0.0,0.0,0.0,121.92,0.0
18,22450.0,21750.0,0.12,0.0,0.0,700.0,12600.0,5833.333333333334,104999.99999999999,5833.333333333334,104999.99999999999,true,18.0,18,0.875,0.0,0.0,0.0,0.0,0.0,18,21750.0,0.0,0.0,0.0,0.0,700.0,12600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,true,true,0.0,0.0,0.0,1.2,1644.2724500334996,18.0,0.0,0.0,0.0,121.92,0.0
19,22450.0,21750.0,0.12,0.0,0.0,700.0,13300.0,5833.333333333334,110833.33333333331,5833.333333333334,110833.33333333331,true,19.0,19,0.875,0.0,0.0,0.0,0.0,0.0,19,21750.0,0.0,0.0,0.0,0.0,700.0,13300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,true,true,0.0,0.0,0.0,1.2,1644.2724500334996,19.0,0.0,0.0,0.0,121.92,0.0
